Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Grimes,McConnell,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Mellman (D-Grimes),2014-09-19,2014-09-27,2014-10-01T15:13:47Z,1800,Likely Voters,Live Phone,42.0,40.0,16.0,http://elections.huffingtonpost.com/pollster/polls/mellman-d-grimes-20647,http://images.politico.com/global/2014/09/30/mellman_92914.html,Sponsor,Dem,,1
Gravis/Human Events (R),2014-09-13,2014-09-16,2014-09-19T14:57:03Z,839,Likely Voters,Automated Phone,41.0,51.0,8.0,http://elections.huffingtonpost.com/pollster/polls/gravis-human-events-r-20505,http://gravismarketing.com/polling-and-market-research/current-kentucky-polling/,Sponsor,Rep,,1
Ipsos/Reuters,2014-09-08,2014-09-12,2014-09-22T15:23:23Z,944,Likely Voters,Internet,42.0,46.0,6.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-20528,http://ipsos-na.com/download/pr.aspx?id=13904,Nonpartisan,None,,1
Mellman (D-Grimes),2014-09-04,2014-09-07,2014-09-10T18:53:37Z,800,Likely Voters,Live Phone,43.0,42.0,15.0,http://elections.huffingtonpost.com/pollster/polls/mellman-d-grimes-20369,http://images.politico.com/global/2014/09/09/14mem908_ky_-_d11.html,Sponsor,Dem,,1
Magellan (R-National Mining Association),2014-09-04,2014-09-07,2014-09-10T15:44:29Z,742,Likely Voters,Automated Phone,42.0,50.0,2.0,http://elections.huffingtonpost.com/pollster/polls/magellan-r-national-mining-association-20362,http://www.slideshare.net/MagellanStrat/national-mining-association-kentucky-epa-regulation-survey-summary-091014,Sponsor,Rep,,1
NBC/Marist,2014-09-02,2014-09-04,2014-09-07T13:10:59Z,691,Likely Voters,Live Phone,39.0,47.0,6.0,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-20285,http://newscms.nbcnews.com/sites/newscms/files/maristkentuckysept2014.pdf,Nonpartisan,None,,1
Rasmussen,2014-09-01,2014-09-02,2014-09-03T17:56:16Z,750,Likely Voters,IVR/Online,41.0,46.0,6.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-20264,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/kentucky/election_2014_kentucky_senate,Nonpartisan,None,,1
CBS/NYT/YouGov,2014-08-18,2014-09-02,2014-09-07T14:54:43Z,2130,Likely Voters,Internet,42.0,47.0,9.0,http://elections.huffingtonpost.com/pollster/polls/cbs-nyt-yougov-20290,https://today.yougov.com/news/2014/09/07/battleground-tracker-2014-kentucky/,Nonpartisan,None,,1
CNN,2014-08-28,2014-09-01,2014-09-03T20:14:19Z,671,Likely Voters,Live Phone,46.0,50.0,3.0,http://elections.huffingtonpost.com/pollster/polls/cnn-20265,http://i2.cdn.turner.com/cnn/2014/images/09/03/cnn.orc.kentucky.poll.pdf,Nonpartisan,None,,1
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014-08-25,2014-08-27,2014-09-02T02:02:36Z,569,Likely Voters,Mixed,42.0,46.0,8.0,http://elections.huffingtonpost.com/pollster/polls/surveyusa-courier-journal-herald-leader-whas-wkyt-20238,http://www.surveyusa.com/client/PollReport.aspx?g=6f7598cf-a0b2-4da2-a0a0-d5837a5a2c8c,Nonpartisan,None,,1
PPP (D),2014-08-07,2014-08-10,2014-08-12T15:30:41Z,991,Likely Voters,IVR/Online,40.0,44.0,9.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-20097,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_KY_8121205.pdf,Pollster,Dem,,1
CBS/NYT/YouGov,2014-07-05,2014-07-24,2014-07-28T18:06:55Z,1515,Likely Voters,Internet,46.0,50.0,2.0,http://elections.huffingtonpost.com/pollster/polls/cbs-nyt-yougov-19959,http://mobile.nytimes.com/2014/07/28/upshot/explaining-online-panels-and-the-2014-midterms.html,Nonpartisan,None,,1
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014-07-18,2014-07-23,2014-07-28T22:22:35Z,604,Likely Voters,IVR/Online,45.0,47.0,8.0,http://elections.huffingtonpost.com/pollster/polls/surveyusa-courier-journal-herald-leader-whas-wkyt-19972,http://media.kentucky.com/smedia/2014/07/28/17/13/11GaWf.So.79.pdf,Nonpartisan,None,,1
Gravis/Human Events (R),2014-07-17,2014-07-20,2014-07-28T16:49:46Z,1054,Likely Voters,Automated Phone,45.0,45.0,10.0,http://elections.huffingtonpost.com/pollster/polls/gravis-human-events-r-19948,http://gravismarketing.com/uncategorized/kentucky-statewide-political-survey/,Sponsor,Rep,,1
VCR (R-McConnell),2014-06-22,2014-06-25,2014-06-27T15:48:33Z,807,Likely Voters,Live Phone,42.0,49.0,,http://elections.huffingtonpost.com/pollster/polls/vcr-r-mcconnell-19766,http://www.whas11.com/news/politics/Internal-McConnell-poll-shows-7-lead-over-Grimes-264891501.html,Sponsor,Rep,,1
PPP (D-Americans for Tax Fairness Action Fund),2014-06-20,2014-06-22,2014-06-26T15:01:02Z,682,Likely Voters,IVR/Online,48.0,46.0,6.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-for-tax-fairness-action-fund-19754,http://atfactionfund.org/2014-Kentucky-Poll/,Sponsor,Dem,,1
POS (R-American Crossroads),2014-06-14,2014-06-17,2014-07-10T21:41:45Z,800,Likely Voters,Live Phone,43.0,48.0,,http://elections.huffingtonpost.com/pollster/polls/pos-r-american-crossroads-19828,http://www.breitbart.com/InstaBlog/2014/07/01/Poll-McConnell-Over-Grimes-By-5-in-Kentucky,Sponsor,Rep,,1
Magellan (R-National Mining Association),2014-06-04,2014-06-05,2014-06-12T15:30:15Z,808,Likely Voters,Automated Phone,49.0,46.0,5.0,http://elections.huffingtonpost.com/pollster/polls/magellan-r-national-mining-association-19644,https://salsa3.salsalabs.com/o/51102/images/KYMagellanToplines.pdf,Sponsor,Rep,,1
Rasmussen,2014-05-28,2014-05-29,2014-05-30T15:41:43Z,750,Likely Voters,IVR/Online,41.0,48.0,7.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-19557,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/kentucky/election_2014_kentucky_senate?utm_source=dlvr.it&utm_medium=twitter,Nonpartisan,None,,1
Wenzel Strategies (R),2014-05-23,2014-05-24,2014-05-29T14:48:26Z,608,Likely Voters,Automated Phone,44.0,47.0,8.0,http://elections.huffingtonpost.com/pollster/polls/wenzel-strategies-r-19545,http://big.assets.huffingtonpost.com/wenzelkysenate527.pdf,Pollster,Rep,,1
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014-05-14,2014-05-16,2014-05-19T15:08:07Z,1475,Likely Voters,IVR/Online,43.0,42.0,7.0,http://elections.huffingtonpost.com/pollster/polls/surveyusa-courier-journal-herald-leader-whas-wkyt-19475,http://www.scribd.com/doc/224633353/Bluegrass-Poll-results-Friday,Nonpartisan,None,,1
NBC/Marist,2014-04-30,2014-05-06,2014-05-12T12:33:59Z,2353,Registered Voters,Live Phone,45.0,46.0,8.0,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-19409,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/NBC%20News-Marist%20Poll_Kentucky_Annotated%20Questionnaire_May%202014.pdf,Nonpartisan,None,,1
Hickman (D-Consumer Energy Alliance),2014-04-24,2014-04-30,2014-05-07T15:22:31Z,500,Likely Voters,Live Phone,45.0,46.0,9.0,http://elections.huffingtonpost.com/pollster/polls/hickman-d-consumer-energy-alliance-19391,http://buildkxlnow.org/wp/wp-content/uploads/2014/05/KY-topline-tables.pdf,Pollster,Dem,,1
Gravis/Human Events (R),2014-04-15,2014-04-17,2014-04-25T15:53:07Z,1359,Registered Voters,Automated Phone,36.0,43.0,12.0,http://elections.huffingtonpost.com/pollster/polls/gravis-human-events-r-19320,http://gravismarketing.com/polling-and-market-research/latest-telephone-survey-show-mcconnell-ahead-in-kentucky/,Sponsor,Rep,,1
NYT/Kaiser,2014-04-08,2014-04-15,2014-04-23T13:56:15Z,891,Registered Voters,Live Phone,43.0,44.0,11.0,http://elections.huffingtonpost.com/pollster/polls/nyt-kaiser-19298,http://www.nytimes.com/interactive/2014/04/23/upshot/24upshot-south-poll.html?smid=tw-share&_r=0,Nonpartisan,None,,1
PPP (D-MoveOn),2014-04-01,2014-04-02,2014-04-08T15:00:46Z,663,Registered Voters,Automated Phone,45.0,44.0,12.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-moveon-19192,http://www.scribd.com/doc/216793719/Kentucky-Medicaid-Polling-Results,Sponsor,Dem,,1
Wenzel Strategies (R),2014-02-08,2014-02-11,2014-02-13T15:33:45Z,1002,Likely Voters,Automated Phone,42.0,43.0,15.0,http://elections.huffingtonpost.com/pollster/polls/wenzel-strategies-r-18847,http://www.realclearpolitics.com/docs/2014/kysen_0213.html,Pollster,Rep,,1
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014-01-30,2014-02-04,2014-02-06T23:22:34Z,1082,Registered Voters,IVR/Online,46.0,42.0,12.0,http://elections.huffingtonpost.com/pollster/polls/surveyusa-courier-journal-herald-leader-whas-wkyt-18807,http://media.kentucky.com/smedia/2014/02/06/12/19/1qzfGA.So.79.pdf#storylink=relast,Nonpartisan,None,,1
Rasmussen,2014-01-29,2014-01-30,2014-02-03T18:35:13Z,500,Likely Voters,IVR/Online,42.0,42.0,10.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-18780,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/kentucky/election_2014_kentucky_senate,Nonpartisan,None,,1
PPP (D-Americans United for Change),2014-01-24,2014-01-26,2014-01-29T19:59:23Z,882,Likely Voters,Automated Phone,44.0,45.0,11.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-18748,http://www.americansunitedforchange.org/page/-/KentuckyResults.pdf,Sponsor,Dem,,1
Gravis Marketing/Human Events (R),2014-01-02,2014-01-02,2014-01-14T16:21:10Z,683,Registered Voters,Automated Phone,37.0,42.0,13.0,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-human-events-r-18670,http://gravismarketing.com/polling-and-market-research/kentucky-poll-us-senate-public-opinion-poll/,Sponsor,Rep,,1
Gravis/Human Events (R),2013-12-29,2014-01-02,2014-03-10T21:19:56Z,1153,Registered Voters,Automated Phone,37.0,42.0,13.0,http://elections.huffingtonpost.com/pollster/polls/gravis-human-events-r-19010,http://gravismarketing.com/polling-and-market-research/kentucky-poll-us-senate-public-opinion-poll/?utm_source=Media+List&utm_campaign=fa12639c1f-KY_Poll1_14_2014&utm_medium=email&utm_term=0_9267323088-fa12639c1f-83089821,Sponsor,Rep,,1
PPP (D),2013-12-12,2013-12-15,2013-12-18T19:36:37Z,1509,Likely Voters,Automated Phone,42.0,43.0,15.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-18569,http://www.publicpolicypolling.com/pdf/2013/PPP_Release_KY_1217.pdf,Pollster,Dem,,1
Lake Research (D-MoveOn),2013-10-24,2013-10-29,2013-11-12T16:20:55Z,603,Likely Voters,Live Phone,37.0,37.0,19.0,http://elections.huffingtonpost.com/pollster/polls/lake-research-d-moveon-18387,http://www.scribd.com/doc/183332001/New-Poll-Reveals-McConnell-Vulnerabilities?secret_password=1jhymfgobsfsd8do93tf,Sponsor,Dem,,1
DFM Research (D-SMART),2013-10-21,2013-10-27,2013-11-15T16:16:07Z,600,Adults,Live Phone,40.0,41.0,19.0,http://elections.huffingtonpost.com/pollster/polls/dfm-research-d-smart-18410,http://www.utu.org/worksite/PDFs/HR%203040/KY_Rail_Survey_2013_DFM.pdf#storylink=relast,Sponsor,Dem,,1
PPP (D-Americans United for Change),2013-10-14,2013-10-15,2013-10-17T17:48:44Z,1193,Likely Voters,Automated Phone,45.0,43.0,12.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-18204,http://www.publicpolicypolling.com/pdf/2013/KentuckySenatePollOctober2013.pdf,Sponsor,Dem,,1
Lake Research (D-Public Campaign Action Fund),2013-08-05,2013-08-15,2013-11-06T18:04:18Z,5000,Registered Voters,Automated Phone,46.0,40.0,14.0,http://elections.huffingtonpost.com/pollster/polls/lake-research-d-public-campaign-action-fund-18370,http://blogs.courier-journal.com/politics/2013/09/11/group-says-alison-grimes-widens-lead-over-mitch-mcconnell/,Pollster,Dem,,1
Wenzel Strategies (R),2013-07-23,2013-07-24,2013-07-25T15:41:11Z,624,Likely Voters,Automated Phone,40.0,48.0,12.0,http://elections.huffingtonpost.com/pollster/polls/wenzel-strategies-r-17730,http://images.politico.com/global/2013/07/25/kentucky_senate_poll_2_-_topline_report_-_7-24-2013.pdf,Pollster,Rep,,1
Mellman (D-Grimes),2013-07-20,2013-07-24,2013-08-01T23:12:53Z,750,Likely Voters,Live Phone,44.0,42.0,14.0,http://elections.huffingtonpost.com/pollster/polls/mellman-d-grimes-17762,https://salsa3.salsalabs.com/o/51102/images/Mellman%20Polling%20Memo%20on%20Grimes_8.1.13.pdf,Sponsor,Dem,,1
PPP (D-Progressive Change Campaign Committee),2013-07-19,2013-07-21,2013-08-01T14:44:44Z,1210,Likely Voters,Automated Phone,45.0,44.0,11.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-progressive-change-campaign-committee-17757,http://www.huffingtonpost.com/2013/08/01/kentucky-senate-poll-alison-lundergan-grimes-mitch-mcconnell-_n_3688273.html?1375363040,Sponsor,Dem,,1
Wenzel Strategies (R),2013-06-01,2013-06-02,2013-06-07T18:25:17Z,623,Likely Voters,Automated Phone,40.0,47.0,14.0,http://elections.huffingtonpost.com/pollster/polls/wenzel-strategies-r-17506,http://www.wenzelstrategies.com/blog/wp-content/uploads/2013/06/Kentucky-Senate-Poll-Topline-Summary-Report-6-3-20131.pdf,Pollster,Rep,,1
PPP (D-Senate Majority PAC),2013-05-23,2013-05-24,2013-05-28T16:14:00Z,556,Likely Voters,Automated Phone,45.0,45.0,10.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-senate-majority-pac-17459,http://www.publicpolicypolling.com/pdf/2011/KentuckyPollingMemo52813.pdf,Sponsor,Dem,,1
PPP (D),2013-04-05,2013-04-07,2013-04-09T16:58:19Z,1052,Likely Voters,Automated Phone,41.0,45.0,14.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-17240,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_KY_040913.pdf,Pollster,Dem,,1
PPP (D),2012-12-07,2012-12-09,2013-03-01T16:01:22Z,1266,Likely Voters,Automated Phone,40.0,47.0,13.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-17096,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_KY_121112.pdf,Pollster,Dem,,1
