Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Cotton,Pryor,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
PPP (D),2014-08-01,2014-08-03,2014-08-05T16:28:10Z,1066,Likely Voters,IVR/Online,41.0,39.0,14.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-20044,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_AR_8051118.pdf,Pollster,Dem,,1
Hendrix College/Talk Business,2014-07-22,2014-07-25,2014-07-29T22:09:06Z,1780,Likely Voters,IVR/Live Phone,44.0,42.0,7.0,http://elections.huffingtonpost.com/pollster/polls/hendrix-college-talk-business-20002,http://talkbusiness.net/2014/07/u-s-senate-poll-tom-cotton-44-mark-pryor-42/,Nonpartisan,None,,1
Anzalone Liszt Grove (D-DSCC),2014-07-20,2014-07-24,2014-08-05T17:33:07Z,600,Likely Voters,Live Phone,46.0,48.0,,http://elections.huffingtonpost.com/pollster/polls/anzalone-liszt-grove-d-dscc-20047,http://atr.rollcall.com/elections-2014-mark-pryor-up-2-tom-cotton/,Sponsor,Dem,,1
CBS/NYT/YouGov,2014-07-05,2014-07-24,2014-07-28T16:24:39Z,1577,Likely Voters,Internet,50.0,46.0,3.0,http://elections.huffingtonpost.com/pollster/polls/cbs-nyt-yougov-19941,http://mobile.nytimes.com/2014/07/28/upshot/explaining-online-panels-and-the-2014-midterms.html,Nonpartisan,None,,1
Harstad (D-Pryor),2014-07-07,2014-07-10,2014-07-29T21:14:19Z,807,Likely Voters,Live Phone,39.0,45.0,,http://elections.huffingtonpost.com/pollster/polls/harstad-d-pryor-20001,http://big.assets.huffingtonpost.com/ArkansasUSSenateUpdateHarstadResearch.pdf,Sponsor,Dem,,1
Gravis Marketing,2014-07-07,2014-07-08,2014-07-15T16:38:02Z,987,Registered Voters,Automated Phone,51.0,44.0,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-19857,http://gravismarketing.com/polling-and-market-research/arkansas-polling-us-senate-governor-and-attorney-general/,Nonpartisan,None,,1
Impact (R),2014-06-29,2014-06-29,2014-07-09T16:20:18Z,1290,Registered Voters,Automated Phone,47.0,43.0,10.0,http://elections.huffingtonpost.com/pollster/polls/impact-r-19821,http://www.impactmanagement.com/wp-content/uploads/2014/07/IMG-June-29-Survey.pdf,Pollster,Rep,,1
OnMessage (R-Cotton),2014-06-09,2014-06-11,2014-06-18T17:00:34Z,600,Likely Voters,Live Phone,47.0,40.0,,http://elections.huffingtonpost.com/pollster/polls/onmessage-r-cotton-19702,http://thehill.com/blogs/ballot-box/senate-races/209688-cotton-leads-pryor-in-internal-poll,Sponsor,Rep,,1
Fabrizio (R-Government Integrity Fund),2014-06-06,2014-06-09,2014-06-11T16:11:14Z,600,Likely Voters,Live Phone,51.0,43.0,5.0,http://elections.huffingtonpost.com/pollster/polls/fabrizio-r-government-integrity-fund-19631,http://images.politico.com/global/2014/06/10/6-14_ar_summary_memo.html,Sponsor,Rep,,1
Magellan (R-National Mining Association),2014-06-04,2014-06-05,2014-06-13T14:23:15Z,755,Likely Voters,Automated Phone,49.0,45.0,4.0,http://elections.huffingtonpost.com/pollster/polls/magellan-r-national-mining-association-19655,http://www.realclearpolitics.com/docs/2014/Magellan_AR_0614.pdf,Sponsor,Rep,,1
Public Opinion Strategies (R-American Crossroads),2014-05-27,2014-05-29,2014-06-05T16:00:36Z,500,Likely Voters,Live Phone,46.0,41.0,7.0,http://elections.huffingtonpost.com/pollster/polls/public-opinion-strategies-r-american-crossroads-19589,http://big.assets.huffingtonpost.com/POSAmericanCrossroads0605.pdf,Sponsor,Rep,,1
Rasmussen,2014-05-27,2014-05-28,2014-05-29T16:30:57Z,750,Likely Voters,IVR/Online,47.0,43.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-19552,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/arkansas/election_2014_arkansas_senate,Nonpartisan,None,,1
OnMessage (R-Cotton),2014-05-06,2014-05-08,2014-05-13T19:02:46Z,600,Likely Voters,Live Phone,42.0,40.0,12.0,http://elections.huffingtonpost.com/pollster/polls/onmessage-r-cotton-19434,http://big.assets.huffingtonpost.com/140512_CottonPollMemo.pdf,Sponsor,Rep,,1
NBC/Marist,2014-04-30,2014-05-04,2014-05-12T12:09:23Z,876,Registered Voters,Live Phone,40.0,51.0,7.0,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-19407,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/NBC%20News-Marist%20Poll_Arkansas_Annotated%20Questionnaire_May%202014.pdf,Nonpartisan,None,,1
PPP (D),2014-04-25,2014-04-27,2014-04-30T17:40:47Z,840,Likely Voters,Automated Phone,42.0,43.0,16.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-19356,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_AR_430.pdf,Pollster,Dem,,1
Magellan (R-Liberty Foundation of America),2014-04-14,2014-04-15,2014-04-28T21:27:22Z,857,Likely Voters,Automated Phone,46.0,43.0,7.0,http://elections.huffingtonpost.com/pollster/polls/magellan-r-liberty-foundation-of-america-19332,http://big.assets.huffingtonpost.com/Magellan042814Arkansas.pdf,Sponsor,Rep,,1
NYT/Kaiser,2014-04-08,2014-04-15,2014-04-23T13:54:00Z,857,Registered Voters,Live Phone,36.0,46.0,15.0,http://elections.huffingtonpost.com/pollster/polls/nyt-kaiser-19297,http://www.nytimes.com/interactive/2014/04/23/upshot/24upshot-south-poll.html?smid=tw-share&_r=0,Nonpartisan,None,,1
Harper (R-American Crossroads),2014-04-09,2014-04-10,2014-04-17T18:26:26Z,522,Likely Voters,Live Phone,39.0,39.0,22.0,http://elections.huffingtonpost.com/pollster/polls/harper-r-american-crossroads-19265,http://www.americancrossroads.org/wp-content/uploads/2014/04/AC-14.04-AR-Toplines.pdf,Sponsor,Rep,,1
Opinion Research Associates (D-Give Arkansas a Raise Now),2014-04-01,2014-04-08,2014-04-10T19:23:11Z,400,Likely Voters,Live Phone,38.0,48.0,13.0,http://elections.huffingtonpost.com/pollster/polls/opinion-research-associates-d-give-arkansas-a-raise-now-19224,http://big.assets.huffingtonpost.com/GARNQuestions2014.pdf,Pollster,Dem,,1
Hendrix College/Talk Business,2014-04-03,2014-04-04,2014-04-08T15:04:03Z,1068,Likely Voters,IVR/Live Phone,43.0,46.0,8.0,http://elections.huffingtonpost.com/pollster/polls/hendrix-college-talk-business-19193,http://talkbusiness.net/2014/04/pryor-holds-small-lead-cotton-high-profile-u-s-senate-race/,Nonpartisan,None,,1
Anzalone Liszt Grove (D-DSCC),2014-03-27,2014-04-02,2014-04-15T14:32:05Z,600,Likely Voters,Live Phone,45.0,48.0,7.0,http://elections.huffingtonpost.com/pollster/polls/anzalone-liszt-grove-d-dscc-19243,http://images.politico.com/global/2014/04/14/summary_--_ar_statewide_poll_april_2014.html,Sponsor,Dem,,1
Hickman (D-Consumer Energy Alliance),2014-02-17,2014-02-20,2014-03-11T18:47:38Z,400,Likely Voters,Live Phone,37.0,40.0,14.0,http://elections.huffingtonpost.com/pollster/polls/hickman-d-consumer-energy-alliance-19021,http://buildkxlnow.org/wp/wp-content/uploads/2014/03/Arkansas-topline-tables.pdf,Pollster,Dem,,1
Impact (R),2014-02-10,2014-02-10,2014-02-20T22:47:08Z,1202,Registered Voters,Automated Phone,46.0,42.0,13.0,http://elections.huffingtonpost.com/pollster/polls/impact-r-18886,http://www.thecitywire.com/sites/default/files/impact_management_group_feb_2014_statewide_poll.pdf,Pollster,Rep,,1
Rasmussen,2014-02-04,2014-02-05,2014-02-06T19:28:04Z,500,Likely Voters,IVR/Online,45.0,40.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-18804,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/arkansas/election_2014_arkansas_senate,Nonpartisan,None,,1
Harper (R-American Crossroads),2014-01-26,2014-01-27,2014-02-10T17:01:38Z,533,Likely Voters,Live Phone,42.0,36.0,22.0,http://elections.huffingtonpost.com/pollster/polls/harper-r-american-crossroads-18819,http://images.politico.com/global/2014/02/06/ac_1401_ar_toplines.html,Sponsor,Rep,,1
PPP (D-Americans United for Change),2013-12-13,2013-12-15,2013-12-16T20:50:30Z,1004,Likely Voters,Automated Phone,44.0,44.0,12.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-18546,http://www.publicpolicypolling.com/pdf/2013/ArkansasPollMemo.pdf,Sponsor,Dem,,1
The Polling Company Inc./WomanTrend (R-Citizens United),2013-12-06,2013-12-07,2013-12-10T17:21:39Z,400,Likely Voters,Live Phone,48.0,41.0,11.0,http://elections.huffingtonpost.com/pollster/polls/the-polling-company-inc-womantrend-r-citizens-united-18500,http://images.politico.com/global/2013/12/09/citizens_united_political_victory_fund_-_statewide_survey_among_400_lvs.html,Sponsor,Rep,,1
Impact (R),2013-10-24,2013-10-24,2014-02-20T22:44:30Z,911,Registered Voters,Automated Phone,42.0,41.0,18.0,http://elections.huffingtonpost.com/pollster/polls/impact-r-18885,http://www.thecitywire.com/node/30242#.UwaEl0JdXrP,Pollster,Rep,,1
OnMessage (R-Cotton),2013-10-15,2013-10-17,2013-10-23T18:31:39Z,600,Likely Voters,Live Phone,45.0,41.0,15.0,http://elections.huffingtonpost.com/pollster/polls/onmessage-r-cotton-18250,http://www.tomcotton.com/wp-content/uploads/2013/10/131022_ARStatewideSurveyMemo-1.pdf,Sponsor,Rep,,1
U of Arkansas,2013-10-10,2013-10-17,2013-10-23T17:52:36Z,618,Likely Voters,Live Phone,37.0,36.0,,http://elections.huffingtonpost.com/pollster/polls/u-of-arkansas-18249,http://plsc.uark.edu/7129.php,Nonpartisan,None,,1
PPP (D-Americans United for Change),2013-10-14,2013-10-15,2013-10-16T16:25:24Z,955,Likely Voters,Automated Phone,41.0,44.0,15.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-18193,http://www.publicpolicypolling.com/pdf/2013/SenatePollsOctober2013Memo.pdf,Sponsor,Dem,,1
Hendrix College/Talk Business,2013-10-08,2013-10-08,2013-10-14T17:37:55Z,603,Likely Voters,Automated Phone,41.0,42.0,17.0,http://elections.huffingtonpost.com/pollster/polls/hendrix-college-talk-business-18182,http://talkbusiness.net/2013/10/asa-still-leads-in-governors-race/,Nonpartisan,None,,1
Harper (R-American Crossroads),2013-09-24,2013-09-26,2013-10-17T17:18:38Z,622,Likely Voters,Automated Phone,42.0,45.0,13.0,http://elections.huffingtonpost.com/pollster/polls/harper-r-american-crossroads-18200,http://images.politico.com/global/2013/10/14/arkansas.html,Sponsor,Rep,,1
The Polling Company Inc./WomanTrend (R-Free Beacon),2013-08-06,2013-08-07,2013-08-12T16:14:07Z,600,Registered Voters,Live Phone,43.0,45.0,,http://elections.huffingtonpost.com/pollster/polls/the-polling-company-inc-womantrend-r-free-beacon-17801,http://freebeacon.com/tom-cotton-in-dead-heat-with-mark-pryor-for-arkansas-senate/,Sponsor,Rep,,1
Harper (R-Conservative Intel),2013-08-04,2013-08-05,2013-08-06T15:47:36Z,587,Likely Voters,Automated Phone,43.0,41.0,16.0,http://elections.huffingtonpost.com/pollster/polls/harper-r-conservative-intel-17778,http://conservativeintel.com/86-conservative-intel-poll-of-arsen/#,Sponsor,Rep,,1
OnMessage (R-NRSC),2013-07-29,2013-07-30,2013-08-12T16:03:46Z,600,Likely Voters,Live Phone,44.0,42.0,14.0,http://elections.huffingtonpost.com/pollster/polls/onmessage-r-nrsc-17800,http://images.politico.com/global/2013/08/11/ar_nrsc_survey.html,Sponsor,Rep,,1
AFSCME Polling Center (D),2013-07-23,2013-07-27,2013-08-12T17:56:36Z,729,Likely Voters,Live Phone,35.0,43.0,21.0,http://elections.huffingtonpost.com/pollster/polls/afscme-polling-center-d-17803,http://www.scribd.com/doc/158212312/AR-Sen-Clark-Research-for-AFSCME-July-2013,Sponsor,Dem,,1
Basswood (R-Senate Conservatives Fund),2013-06-22,2013-06-23,2013-06-27T14:31:19Z,600,Likely Voters,Live Phone,40.0,41.0,19.0,http://elections.huffingtonpost.com/pollster/polls/basswood-r-senate-conservatives-fund-17608,http://www.senateconservatives.com/site/post/2155/new-poll-spells-trouble-for-mark-pryor,Sponsor,Rep,,1
Basswood (R - Club for Growth/Senate Conservatives Fund),2013-03-16,2013-03-17,2013-03-20T14:45:53Z,600,Likely Voters,Live Phone,43.0,35.0,22.0,http://elections.huffingtonpost.com/pollster/polls/basswood-r-club-for-growth-senate-conservatives-fund-17171,http://www.clubforgrowth.org/perm/pr/?postID=1200,Pollster,Rep,,1
